"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"102466751",0,NA,NA,NA,NA,NA
"100302278",0,NA,NA,NA,NA,NA
"645520",0.0258177179492315,-0.242374032276571,1.94778298103699,-0.124435850726826,0.900970189150852,NA
"79501",0.00350876791381162,-0.196820058546608,3.65754281545265,-0.0538120996738762,0.957084869342898,NA
"729759",0,NA,NA,NA,NA,NA
"101928626",0.614689738993119,0.191119030323349,0.21998998261135,0.868762422973564,0.384977090321097,0.611817795688761
"81399",0,NA,NA,NA,NA,NA
"400728",3.49213788889227,0.102652283216336,0.110596212989157,0.928171774076933,0.35331847338681,0.58342064489436
"643837",188.793563797492,0.15719205919094,0.0591523975849734,2.65740807826313,0.00787440613877267,0.0519278890704163
"284593",0.213414475894932,0.34358904038533,0.434299269460331,0.791134281234874,0.428865636360656,NA
"100130417",395.154029370628,-0.0979482151874606,0.131516881958033,-0.744757735502853,0.456418189275522,0.674706998065411
"148398",3923.61023190671,-0.115022784438511,0.0929243410920148,-1.23781113846817,0.215786097405409,0.440672492767668
"26155",815.543034785696,0.00545279960274628,0.029551889392739,0.184516107592297,0.853608592068212,0.928546452430985
"339451",427.25112680974,-0.11593688123601,0.0549982731094031,-2.10800948250479,0.0350301692142915,0.14030454111079
"84069",11.8572531143563,-0.258844862084875,0.188583321627231,-1.37257558012754,0.169884327799233,0.380709003308667
"84808",155.551404214,-0.0806428724169857,0.176197710283627,-0.457683997636371,0.647179486370855,0.8057537965385
"57801",949.681345134526,-0.309211439939721,0.106131159385615,-2.91348404869714,0.0035742009687147,0.0301471864907764
"9636",631.821903862473,-0.825448368742967,0.184119929800325,-4.48321031643967,7.35283960375192e-06,0.000360203443152565
"375790",1672.00322425146,0.217197714382004,0.0693175333711948,3.13337338792642,0.00172809455413274,0.0184822570736151
"401934",0.40961068320758,-0.202232441309593,0.387433946327527,-0.521979148256231,0.601684848880998,0.777503210711991
"54991",422.849811508896,-0.0320191633177325,0.052661943854868,-0.608013319940765,0.543178639657638,0.738653819716418
"254099",0.260319068061324,-0.638603940243406,0.594603944921481,-1.07399882846007,0.28282320662783,NA
"406984",0.0215647719709363,-0.167986978146525,3.65754281545265,-0.045928916385285,0.963366906547948,NA
"406983",0.00960297366753352,-0.141332530054459,3.65754281545265,-0.0386413877254827,0.969176304285369,NA
"554210",0.0114623188379811,-0.182403518346566,3.65754281545265,-0.0498705080295806,0.960225579232102,NA
"100506376",0.147403608583863,-0.232254669929592,0.711614606630347,-0.32637704140078,0.744139105649202,NA
"254173",1.26396922025744,-0.508489521172689,0.245094285442831,-2.07466902075649,0.0380172204241188,0.147799022848392
"8784",30.2018449546815,-0.424225249975468,0.203784960357125,-2.08172992370011,0.0373671457518632,0.146154486739575
"7293",33.7467927687563,-0.207361414831213,0.206589390060974,-1.00373700106289,0.315505397309607,0.547599425658593
"51150",4113.29696991734,-0.0901880175392607,0.0495540788856056,-1.81999180627406,0.0687602526953174,0.216619018234866
"126792",593.037154695376,-0.0131006349028594,0.0396709538680837,-0.330232415041555,0.741224355734727,0.864228738638984
"388581",28.6968718015523,-0.0875847357273269,0.111583344504617,-0.784926604558825,0.432496602434967,0.653627829481754
"118424",1214.60979972823,-0.0874682118520541,0.0310414698384638,-2.81778576553329,0.00483560626349939,0.0371920877958493
"6339",616.991807314157,0.0120813642074708,0.0793034152301902,0.152343555096622,0.878915973807461,0.941368575675125
"116983",4352.5072871206,-0.020658925427306,0.105324878237145,-0.19614478338908,0.844496844915979,0.923554441002977
"102465434",0.112659839744194,-0.0213174921929425,0.618111148408441,-0.0344881211863472,0.972487914634656,NA
"126789",286.718153458094,-0.175858855272964,0.0477979954695127,-3.67920984019369,0.000233957708878766,0.00450914683029831
"54973",2244.60305031884,-0.101456504936107,0.0338943101190191,-2.99331966279427,0.00275960542253175,0.0254702975669421
"102465435",0.932540420925975,0.313878286035967,0.163127655670191,1.92412675058949,0.0543386977573574,0.186574788156657
"80772",631.232051379896,-0.137971739748775,0.0384950314837526,-3.58414409420624,0.000338185357200244,0.00583043762667788
"83756",42.6908609320135,0.256837679870636,0.0936866878856631,2.7414533021392,0.00611680548614807,0.0437694191681606
"1855",2454.7500966381,-0.024371193160005,0.0441045959484466,-0.552577177863554,0.580552973095558,0.763415172229774
"102466740",0.100500963952525,-0.081383730748747,0.708845093818526,-0.114811728907278,0.908594352213583,NA
"54587",4382.71131213226,-0.0906909963861881,0.155572336174436,-0.582950662156929,0.559926514172265,0.750808117261809
