,log2FoldChange,padj
81669,-1.16233093746446,0.000103142114449187
148413,-0.220208811706736,0.582016658092183
55052,-0.0159370325144169,0.986590233010347
107984868,0.855877370563249,0.00636825993205514
441869,0.602436451098414,0.0417358948753219
105378585,0.565261126033495,0.161798228443364
643965,0.0322389293531224,NA
102724312,-0.535262646592758,0.452418284034982
107985729,-0.747827843870359,0.137545213707244
64856,-0.191622289839,0.908363837173103
219293,0.0693940622709914,0.959760817900521
83858,-0.074648768254608,0.961187111109623
55210,-0.209466638504945,0.543609761446546
339453,0.527659850080367,0.301939220035036
29101,0.180317297677026,0.450320381552604
643988,0.679755546308075,0.137866487683527
105378586,0.107421468441711,0.95937662043088
142678,-0.388738795251573,0.119652531183833
8510,-0.65710856903741,0.116545791334454
984,0.000538021758384388,0.999540370728007
728661,0.108638406105212,0.937543994246702
8511,-1.25043738126204,0.011908615521528
728642,-0.14142911638213,0.820125210504195
9906,-0.0130290495483651,0.993999131155909
112268218,-0.423709227307487,0.486723455174787
65220,-0.376728798979477,0.652873307149902
2782,-0.0923365962744724,0.97952034286819
105378949,0.426541130622556,0.398332932334904
163688,-1.98771146474635,0.00745832774419963
339456,0.509126933379404,0.154621732946703
85452,-0.441311586447882,0.903342139960062
107984872,-0.412308379319714,0.911053910051693
105378589,-0.371942801650353,0.87827237654901
2563,-0.171241978442319,0.969288274019238
105378590,-0.340153142418242,NA
105378591,-0.471556026451864,0.890283263347875
5590,0.080343591903486,0.97863559374197
100506504,-0.0624093565513585,0.978533045775543
199990,-0.00804497093879825,0.989734675032014
112268219,-0.522906506214462,0.057945636301125
105378593,-1.3826580755626,0.0141264422542332
6497,-0.011168572922391,0.997148410885841
79906,-0.351081116496387,0.266050113298758
100129534,0.0679312513565845,0.976567765956014
11079,-0.0338853475904853,0.97453152515118
5192,0.0406072428844327,0.942421874220699
9651,-0.180101148536916,0.970749385506948
55229,-0.0867658937378488,0.95937662043088
388585,0.214085209824326,0.961746747394002
115110,-1.2508888429035,0.279448660618897
8764,-1.06610956424628,0.459280592289234
100996583,-0.872463371152172,0.153363702863336
127281,0.400400005948584,0.2393877168838
79258,0.362706525958377,0.35158530371768
105378597,0.721803904720832,0.479757215297916
100287898,0.154094995770758,0.913326162548537
105378603,0.00156176234421614,NA
105378602,0.312503443989397,NA
105378601,0.0312585620505233,0.996350001799668
112268220,0.074575642148169,0.99005324259218
107985732,0.131146082853362,0.97952034286819
105378600,0.0797609208130198,0.989230673801232
105378598,-0.515401422990957,0.905715799958718
107984904,0.214407264356398,0.969182620370256
105378599,0.152740878293626,0.97879796052415
440556,-0.371118094521936,0.92093125220618
63976,0.286415413560373,0.935247244746247
100422968,-1.53744398003056,NA
105378606,-0.824344371661539,0.816973756035397
107984909,-0.743481750846201,0.838256492207393
105378605,-0.713865200519519,0.846937297996853
105378604,-0.539652144437482,0.872093694142342
27237,-0.54381497203901,0.452418284034982
1953,-1.19230279653248,0.0482094086763585
105378608,-0.875076567240012,0.600862320141897
693135,-0.76692429847126,NA
105378607,-0.254377058555626,NA
127262,0.130356583395793,0.858201650864808
49856,-0.246661867091646,0.537180736066173
7161,-0.42091545895813,0.577897174531239
105378610,-0.532201639798327,NA
57212,-0.527518302181253,0.0182334243573293
148870,-0.087004244505117,0.936192506434806
388588,-0.152148647835906,0.909463186043829
57470,-0.00218158107121147,0.997263372257019
9731,0.0615070984535506,0.953305746713502
1677,-0.648256060038051,0.00767943094165461
107984910,0.125487226971487,0.95937662043088
339448,-0.0379893827672343,0.952371135083868
100133612,-0.359559651736062,0.8185984291958
728716,0.645968414475548,NA
105376673,-0.809510955890127,NA
284661,-1.37632483939832,NA
105376679,0.256914675695408,0.961811653309696
107985376,0.200793118625488,0.948315917357412
55966,0.209063626065358,0.901427888954981
105376680,-1.13492125854074,NA
107984911,-0.0146339982598474,0.998388631034747
105376686,-0.407268736157381,0.942412882285455
100616421,0.238892585711114,NA
261734,-0.389526781343266,0.692524357519862
8514,0.24625172249048,0.729938984356521
26038,0.152169151626127,0.971825261683676
105376687,0.0650644747485439,0.989734675032014
6146,-0.0331553869177098,0.976669709928021
107985733,-0.643911529591687,0.470926359170788
102724450,-1.10691724032233,0.179860152296599
388591,-0.763975271606412,4.22771172545379E-05
23463,-0.0178572085049585,0.988236012853445
148645,-0.644010250681089,0.778577833198121
390992,-0.318778741384095,NA
387509,0.448762361910435,0.499096767324749
11332,0.752488159227803,0.330198397259689
54626,-0.307121066947995,0.936098848244192
83715,-0.129713556276635,0.977396760197013
100422975,-0.77932715381367,0.759827075020304
8718,-0.258338894056615,0.896435520391405
57449,-0.474643833600272,0.00852589141290844
79707,0.312519527197552,0.273560086955422
80835,-0.439673984235924,0.5939864679272
107984912,-0.271430298884308,0.882130223516493
3104,-0.498444456087084,0.000724569154911859
9903,-0.208181275450043,0.862279994932045
107984913,0.0823715109980576,0.933343540025403
148479,-0.215734369565357,0.56557510528872
90326,-0.148292747412129,0.139036291071623
55735,0.0288281482886002,0.973757164761316
110841581,-0.491669294658292,0.367115441595115
23261,0.222980846659544,0.92257873728216
105376692,-0.0346314130765025,0.994111660881091
102725193,0.234610070951106,0.942862789336501
101928836,0.14858027826953,0.969182620370256
105376691,0.926078237541314,NA
105376689,-1.30553305966862,0.371139220289444
9341,-0.074165232908343,0.97879796052415
8863,0.0796827279043048,0.95606877779814
10911,0.468616949134762,0.771435070209894
3604,0.0688749588632596,0.984650484743186
11315,0.0776067773803199,0.802307872820474
54206,-0.403878819973639,0.626454119203248
102724539,0.132283151350125,NA
105376695,1.64407768646078,NA
50651,0.50940432987158,0.463029819171744
473,0.207990069081785,0.878223525577763
102724552,0.0141065583019483,0.994843562238479
106632271,0.132465221034736,0.962163985095911
2023,0.0748833504421573,0.955534513473362
102465436,-3.41236194365143,3.80023071879196E-06
100505975,-0.300780243240852,0.580290362327489
112268261,0.311794088152425,0.843466606960208
765,-0.284615041231312,NA
155184,-0.393761913356485,0.946655356681837
6518,-0.558841355915799,0.633169747087314
80045,-0.357255023177087,0.84820354241581
106614088,-0.565150645047039,0.744660834793836
407040,0.0950747262817932,0.977396760197013
102724571,0.134597092438286,0.970749385506948
9563,-0.514410459842112,0.711053106679161
80176,-0.546183423628586,0.711053106679161
100506022,0.147535503200011,0.944977670391581
84275,0.0675654204271505,0.962351214217501
199953,0.0992681932123568,0.951737106819781
107985734,-0.218566501726597,0.90557102951188
5293,-0.0562602658204499,0.969182620370256
644997,-0.253202408985223,0.962163985095911
101929074,0.11963925516192,0.96486604372081
22883,0.281380389713664,0.810821996851624
56998,0.0118450458246516,0.996029563428325
105376717,-0.339719452549539,0.596204070932737
84328,0.302658105822851,0.00183342111214257
64802,0.0553363321973076,0.965201773020339
113391335,0.0908511760308005,0.963322917861539
100847055,0.87404393212852,NA
116362,0.0237462443970778,0.994092133088889
10277,0.411344009939087,0.0948140143065285
23095,0.324767085489328,0.860150205705488
105376725,0.00978056548768296,0.997579139824498
5226,0.0439450740708824,0.970749385506948
100526739,-0.107607806047169,0.91975974065781
378708,-0.0827852706066235,0.942764630736145
1325,-0.0434819914919932,0.983757887549838
1676,0.137065168735944,0.604484094635132
5195,-0.234863821481471,0.909463186043829
54897,0.063629535994051,0.99006963144332
105376733,-0.659080147032937,0.85008398443563
148345,-0.305180100044374,0.911954067629793
23435,-0.0157566272151847,0.987432479775279
10747,-0.0485474424527741,0.979510695644118
6723,0.186189679945995,0.810031800504295
5394,-0.223207154713361,0.24229963512279
